frame_id,class_name,x1,y1,x2,y2
53,player,949,170,1051,288
53,ball,668,432,681,443
54,player,602,739,724,967
54,player,926,168,1026,281
54,ball,673,397,685,410
55,player,589,741,731,961
55,player,906,173,1014,286
55,ball,676,378,687,390
56,player,589,736,736,976
56,player,892,170,1005,286
56,ball,679,366,690,376
57,player,598,734,745,963
57,player,869,170,992,288
57,ball,681,355,692,365
58,player,607,716,758,954
58,player,856,164,967,288
58,ball,681,347,693,360
59,player,647,716,765,952
59,player,833,166,946,281
59,ball,682,346,694,358
60,player,681,732,777,952
60,player,813,166,928,284
60,ball,682,302,694,316
61,player,695,727,788,965
61,player,797,155,906,281
61,ball,683,278,695,289
62,player,695,727,815,961
62,player,779,155,881,279
62,ball,684,257,695,268
63,player,700,727,833,958
63,player,745,164,876,284
63,ball,683,234,695,245
64,player,720,716,842,952
64,player,706,168,860,281
64,ball,685,220,696,231
65,player,743,707,856,943
65,player,717,178,835,280
65,ball,696,218,707,231
66,player,770,709,876,933
66,player,702,181,783,282
66,ball,722,227,729,234
67,player,783,725,910,933
67,player,691,180,758,278
67,ball,740,229,751,240
68,player,801,723,942,936
68,player,672,173,742,275
68,ball,757,234,770,244
69,player,795,714,964,929
69,player,629,164,727,275
69,ball,779,242,794,255
70,player,815,712,969,929
70,player,625,157,711,279
70,ball,799,252,814,265
71,player,847,709,974,915
71,player,607,159,700,275
71,ball,819,265,834,278
72,player,901,700,992,913
72,player,600,170,693,272
72,ball,846,284,860,295
73,player,910,705,1012,906
73,player,598,164,688,272
73,ball,868,302,881,311
74,player,933,705,1023,902
74,player,575,164,688,272
74,ball,888,317,900,331
75,player,949,707,1060,902
75,player,584,164,697,272
75,ball,914,344,928,358
76,player,951,698,1105,902
76,player,589,155,706,270
76,ball,935,366,950,382
77,player,987,698,1114,897
77,player,582,157,722,270
77,ball,961,395,973,408
78,player,1019,689,1125,902
78,player,602,152,731,268
78,ball,989,434,1004,447
79,player,1037,684,1137,897
79,player,627,155,722,263
79,ball,1014,466,1027,479
80,player,1051,680,1152,893
80,player,648,146,734,272
80,ball,1036,502,1052,515
81,player,1060,673,1159,886
81,player,659,148,736,266
81,ball,1068,549,1086,566
82,player,1078,673,1186,884
82,player,670,146,752,275
82,ball,1092,590,1111,608
83,player,1091,673,1209,879
83,player,691,146,763,270
83,ball,1117,632,1136,651
84,player,1107,671,1225,888
84,ball,1160,702,1170,714
84,player,704,143,779,270
85,player,1114,682,1232,888
85,player,715,141,792,277
86,player,1126,685,1247,890
86,player,734,146,813,279
86,ball,1197,718,1210,729
87,player,1135,685,1264,890
87,ball,1217,712,1232,724
87,player,745,150,835,284
88,player,1143,681,1259,885
88,ball,1237,715,1248,725
88,player,749,152,840,281
89,player,1147,677,1238,885
89,ball,1253,717,1270,733
89,player,763,152,835,279
90,player,1148,666,1250,882
90,ball,1279,732,1292,744
90,player,779,146,842,281
91,player,1150,654,1285,866
91,ball,1296,743,1312,757
91,player,781,143,851,279
92,player,1151,647,1257,857
92,ball,1287,658,1308,683
92,player,788,146,860,277
93,player,1139,639,1257,852
93,player,790,146,872,272
93,ball,1273,556,1289,578
94,player,1137,639,1254,852
94,player,792,159,881,270
94,ball,1263,503,1277,520
95,player,1152,630,1272,843
95,player,790,157,887,272
95,ball,1251,454,1269,471
96,player,1150,635,1277,845
96,player,792,152,894,272
96,ball,1243,410,1254,424
97,player,1139,635,1277,852
97,player,806,157,901,272
97,ball,1234,383,1246,398
98,player,1146,644,1268,843
98,player,820,150,917,268
98,ball,1225,368,1238,378
99,player,1132,635,1252,843
99,player,847,141,935,261
99,ball,1216,352,1228,362
100,player,1123,637,1241,838
100,player,842,141,953,263
100,ball,1209,346,1219,357
101,player,1130,626,1248,834
101,player,867,141,962,266
101,ball,1203,343,1213,358
102,player,1125,626,1229,811
102,player,906,148,980,263
102,ball,1192,326,1208,342
103,player,1105,623,1223,809
103,player,906,134,1021,263
103,ball,1192,296,1204,308
104,player,1087,612,1223,807
104,player,935,136,1028,266
104,ball,1189,265,1200,278
105,player,1071,601,1218,802
105,player,976,146,1039,266
105,ball,1186,234,1194,245
106,player,1078,596,1198,789
106,player,976,143,1066,261
106,ball,1182,216,1193,226
